first name,last name,player,position,TEAM,Games,Gamestarted,Minutes,Goals,Assists,ShotsonGoal,Shots,YellowCards,RedCards,Foulsuffered,Foulscommitted,Offsides,Crosses,CornerKicks,PenaltyGoal,Penaltykicks
 Salomon,Rondon, Salomon Rondon,F,newcastle,32,30,2397,11,7,31,89,1,0,26,19,19,27,0,0,-
 Jamaal,Lascelles, Jamaal Lascelles,D,newcastle,32,32,2070,0,1,1,10,4,0,4,12,0,2,0,0,-
 DeAndre,Yedlin, DeAndre Yedlin,D,newcastle,29,28,1765,1,2,3,10,6,1,8,28,5,87,0,0,-
 Mohamed,Diame, Mohamed Diame,M,newcastle,29,24,1357,0,0,4,21,3,0,14,20,0,18,1,0,-
 Christian,Atsu, Christian Atsu,M,newcastle,28,15,1311,1,0,13,27,2,0,23,13,4,46,3,0,-
 Paul,Dummett, Paul Dummett,D,newcastle,26,21,1357,0,0,1,9,1,0,9,10,1,33,1,0,-
 Isaac,Hayden, Isaac Hayden,M,newcastle,25,21,1752,1,4,6,20,3,1,10,26,0,17,0,0,-
,Kenedy, Kenedy,M,newcastle,25,14,751,1,1,5,29,1,0,10,9,6,33,5,0,-
 Fabian,Schar, Fabian Schar,D,newcastle,24,22,1925,4,1,8,26,12,0,19,24,1,15,0,0,-
 Federico,Fernandez, Federico Fernandez,D,newcastle,19,17,942,0,1,1,3,2,0,3,8,1,4,0,0,-
 Javi,Manquillo, Javi Manquillo,D,newcastle,18,12,952,0,3,1,2,2,0,7,11,1,31,1,0,-
 Ki,Sung-yueng, Ki Sung-yueng,M,newcastle,18,14,1121,0,1,2,7,2,0,14,9,0,65,36,0,-
 Yoshinori,Muto, Yoshinori Muto,F,newcastle,17,5,279,1,0,3,6,1,0,4,9,2,7,0,0,-
,Joselu, Joselu,F,newcastle,16,5,150,2,0,6,16,1,0,1,2,4,2,0,0,-
 Jonjo,Shelvey, Jonjo Shelvey,M,newcastle,16,10,404,1,1,7,22,1,0,2,8,0,61,31,0,-
 Florian,Lejeune, Florian Lejeune,D,newcastle,12,12,1055,0,0,4,7,0,0,4,11,0,9,0,0,-
 Ciaran,Clark, Ciaran Clark,D,newcastle,11,9,372,3,0,3,7,1,0,2,3,0,2,0,0,-
 Miguel,Almiron, Miguel Almiron,M,newcastle,10,9,762,0,0,8,21,0,0,17,7,4,24,1,0,-
 Sean,Longstaff, Sean Longstaff,M,newcastle,9,8,687,1,0,2,8,2,0,8,8,0,3,0,0,-
 Jacob,Murphy, Jacob Murphy,M,newcastle,9,3,81,0,1,2,3,0,0,1,1,1,17,0,0,-
 Antonio,Barreca, Antonio Barreca,D,newcastle,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,-
 Nathan,Redmond, Nathan Redmond,M,southampton,38,36,2467,6,4,21,75,3,0,21,24,15,117,10,0,-
 Pierre,Hojbjerg, Pierre Hojbjerg,M,southampton,31,31,2147,4,3,19,51,7,1,32,35,0,38,3,0,-
 Oriol,Romeu, Oriol Romeu,M,southampton,31,25,1854,1,0,4,10,11,0,17,38,0,10,0,0,-
 Stuart,Armstrong, Stuart Armstrong,M,southampton,29,16,1288,3,2,13,32,2,0,19,14,4,31,12,0,-
 James,Ward Prowse, James Ward Prowse,M,southampton,26,21,1843,7,0,15,31,4,0,10,21,3,151,90,1,-
 Shane,Long, Shane Long,F,southampton,26,12,910,5,1,9,31,3,0,19,18,12,17,1,0,-
 Charlie,Austin, Charlie Austin,F,southampton,25,11,635,2,2,7,30,1,0,12,11,8,2,0,0,-
 Jan,Bednarek, Jan Bednarek,D,southampton,25,24,2070,0,1,2,6,7,0,6,22,0,1,0,0,-
 Alex,McCarthy, Alex McCarthy,G,southampton,25,25,1440,0,0,0,0,1,0,3,0,0,0,0,0,-
 Danny,Ings, Danny Ings,F,southampton,24,23,1054,7,2,21,54,1,0,14,8,6,20,1,2,-
 Ryan,Bertrand, Ryan Bertrand,D,southampton,24,24,1350,1,0,2,15,8,0,15,15,0,104,32,0,-
 Jack,Stephens, Jack Stephens,D,southampton,24,19,1427,1,0,5,7,4,0,5,10,0,6,0,0,-
 Yann,Valery, Yann Valery,D,southampton,23,20,1714,2,1,5,6,3,0,5,27,2,58,0,0,-
 Jannik,Vestergaard, Jannik Vestergaard,D,southampton,23,23,1490,0,0,2,14,2,0,7,9,1,1,0,0,-
 Mario,Lemina, Mario Lemina,M,southampton,21,18,829,1,1,5,24,5,0,18,17,1,18,0,0,-
 Cedric,Soares, Cedric Soares,D,southampton,18,16,718,1,2,3,10,4,0,2,5,1,70,0,0,-
 Maya,Yoshida, Maya Yoshida,D,southampton,17,17,1430,0,1,3,13,0,0,7,4,2,4,0,0,-
 Matt,Targett, Matt Targett,D,southampton,16,13,1115,1,3,3,11,2,0,11,5,0,92,20,0,-
 Mohamed,Elyounoussi, Mohamed Elyounoussi,M,southampton,16,8,367,0,0,5,18,0,0,5,7,2,52,24,0,-
 Wesley,Hoedt, Wesley Hoedt,D,southampton,13,13,360,0,0,1,6,2,0,5,5,0,3,0,0,-
 Manolo,Gabbiadini, Manolo Gabbiadini,F,southampton,12,4,318,1,0,8,19,0,0,4,5,1,3,0,0,-
 Angus,Gunn, Angus Gunn,G,southampton,12,12,1080,0,0,0,0,0,0,2,0,0,0,0,0,-
 Josh,Sims, Josh Sims,M,southampton,7,2,210,0,1,1,5,0,0,5,1,1,3,0,0,-
 Michael,Obafemi, Michael Obafemi,F,southampton,6,1,135,1,1,2,6,1,0,3,3,1,2,0,0,-
 Sam,Gallagher, Sam Gallagher,F,southampton,4,0,29,0,0,0,0,0,0,1,4,0,0,0,0,-
 Steven,Davis, Steven Davis,M,southampton,3,1,90,0,1,0,0,0,0,0,1,0,2,0,0,-
 Callum,Slattery, Callum Slattery,M,southampton,3,1,110,0,0,0,2,0,0,3,4,0,1,0,0,-
 Fraser,Forster, Fraser Forster,G,southampton,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,-
 Kayne,Ramsay, Kayne Ramsay,D,southampton,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,-
 Christian,Eriksen, Christian Eriksen,M,tottenham,35,30,2231,8,12,33,86,3,0,11,13,3,158,71,0,-
 Toby,Alderweireld, Toby Alderweireld,D,tottenham,34,33,2213,0,0,6,17,3,0,2,5,1,13,0,0,-
 Hugo,Lloris, Hugo Lloris,G,tottenham,33,33,2520,0,0,0,0,0,0,2,0,0,0,0,0,-
,Lucas Moura, Lucas Moura,M,tottenham,32,25,1352,10,0,19,45,3,0,34,12,14,42,1,0,-
 Son,Heung-min, Son Heung-min,F,tottenham,31,23,1790,12,6,29,73,2,1,14,10,20,44,5,0,-
 Moussa,Sissoko, Moussa Sissoko,M,tottenham,29,27,2072,0,3,3,15,2,0,18,22,4,46,0,0,-
 Harry,Kane, Harry Kane,F,tottenham,28,27,1623,17,4,50,103,5,0,35,22,10,26,0,2,-
 Kieran,Trippier, Kieran Trippier,D,tottenham,27,26,1572,1,3,3,8,2,0,16,13,5,212,70,0,-
 Ben,Davies, Ben Davies,D,tottenham,27,20,1470,0,0,1,14,2,0,12,12,0,53,4,0,-
 Harry,Winks, Harry Winks,M,tottenham,26,17,1288,1,0,2,9,4,0,11,11,2,12,1,0,-
 Danny,Rose, Danny Rose,D,tottenham,26,20,1358,0,3,2,15,5,0,35,18,1,104,19,0,-
 Dele,Alli, Dele Alli,M,tottenham,25,22,1470,5,2,19,40,4,0,15,19,3,30,2,0,-
 Davinson,Sanchez, Davinson Sanchez,D,tottenham,23,22,1430,1,1,3,12,2,0,10,17,0,0,0,0,-
 Jan,Vertonghen, Jan Vertonghen,D,tottenham,22,22,1328,1,0,2,15,3,0,6,9,1,34,0,0,-
 Eric,Dier, Eric Dier,M,tottenham,20,18,815,3,0,3,9,4,0,3,13,0,9,1,0,-
 Fernando,Llorente, Fernando Llorente,F,tottenham,20,6,670,1,3,5,23,2,0,6,11,5,3,0,0,-
 Erik,Lamela, Erik Lamela,F,tottenham,19,9,809,4,2,12,30,2,0,11,17,1,41,20,0,-
 Victor,Wanyama, Victor Wanyama,M,tottenham,13,4,455,1,0,2,7,2,0,7,7,0,3,0,0,-
 Juan,Foyth, Juan Foyth,D,tottenham,12,10,889,1,0,1,4,3,1,9,16,0,5,0,0,-
 Mousa,Dembele, Mousa Dembele,M,tottenham,10,7,82,0,0,0,1,1,0,0,3,0,1,0,0,-
 Serge,Aurier, Serge Aurier,D,tottenham,8,6,459,0,2,1,4,1,0,1,13,1,28,0,0,-
 Oliver,Skipp, Oliver Skipp,M,tottenham,8,2,215,0,0,0,2,0,0,3,3,0,0,0,0,-
 Kyle,Walker-Peters, Kyle Walker-Peters,D,tottenham,6,4,374,0,3,0,1,1,0,10,4,1,7,0,0,-
 Paulo,Gazzaniga, Paulo Gazzaniga,G,tottenham,3,3,90,0,0,0,0,0,0,0,0,0,0,0,0,-
 Vincent,Janssen, Vincent Janssen,F,tottenham,3,0,36,0,0,2,3,0,0,0,2,1,1,0,0,-
 Michel,Vorm, Michel Vorm,G,tottenham,2,2,-,0,0,0,0,0,0,-,-,0,0,0,-,-
 Georges-Kevin,Nkoudou, Georges-Kevin Nkoudou,M,tottenham,1,0,4,0,1,0,0,0,0,1,0,0,2,0,0,-
 Ben,Foster, Ben Foster,G,watford,38,38,2610,0,0,1,3,1,0,9,2,0,1,2,0,-
 Craig,Cathcart, Craig Cathcart,D,watford,36,35,2290,3,0,5,11,2,0,6,12,1,5,0,0,-
 Abdoulaye,Doucoure, Abdoulaye Doucoure,M,watford,35,34,2252,5,4,17,49,7,0,15,27,2,24,2,0,-
 Roberto,Pereyra, Roberto Pereyra,M,watford,33,33,2034,6,2,22,57,3,0,21,19,2,66,15,0,-
 Etienne,Capoue, Etienne Capoue,M,watford,33,33,2138,1,2,3,15,14,1,45,33,0,14,3,0,-
 Troy,Deeney, Troy Deeney,F,watford,32,28,1829,9,5,29,64,4,1,22,29,11,16,1,1,-
 Will,Hughes, Will Hughes,M,watford,32,31,1701,2,4,9,31,5,0,50,34,0,32,4,0,-
 Gerard,Deulofeu, Gerard Deulofeu,F,watford,30,26,1995,10,4,22,60,3,0,10,13,35,93,8,0,-
 Isaac,Success, Isaac Success,F,watford,30,9,860,1,1,11,25,4,0,40,17,12,19,1,0,-
 Andre,Gray, Andre Gray,F,watford,29,13,756,7,2,17,35,2,0,2,7,17,22,0,0,-
 Kiko,Femenia, Kiko Femenia,D,watford,29,22,1811,1,1,2,6,1,0,10,13,3,81,5,0,-
 Jose,Holebas, Jose Holebas,D,watford,28,27,1679,3,6,6,18,12,1,8,25,2,218,115,0,-
 Adrian,Mariappa, Adrian Mariappa,D,watford,26,20,1796,0,0,1,8,3,0,4,18,0,3,0,0,-
 Christian,Kabasele, Christian Kabasele,D,watford,21,19,925,0,0,1,7,2,0,9,13,0,2,0,0,-
 Daryl,Janmaat, Daryl Janmaat,D,watford,18,17,1001,0,2,1,9,3,0,1,8,1,72,0,0,-
 Ken,Sema, Ken Sema,M,watford,17,9,707,1,2,5,11,1,0,6,12,1,19,3,0,-
 Adam,Masina, Adam Masina,D,watford,14,11,907,0,0,0,3,5,0,7,16,0,33,18,0,-
 Tom,Cleverley, Tom Cleverley,M,watford,13,4,469,1,0,2,4,2,0,4,7,1,4,2,0,-
 Nathaniel,Chalobah, Nathaniel Chalobah,M,watford,9,3,262,0,0,1,2,2,0,3,6,0,1,0,0,-
 Domingos,Quina, Domingos Quina,M,watford,8,3,335,1,0,1,5,0,0,5,6,0,6,0,0,-
 Miguel,Britos, Miguel Britos,D,watford,3,2,185,0,0,0,0,0,0,1,3,0,1,0,0,-
 Marc,Navarro, Marc Navarro,D,watford,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,-
 Stefano,Okaka, Stefano Okaka,F,watford,2,0,22,0,0,0,2,1,0,1,1,0,0,0,0,-
 Ben,Wilmot, Ben Wilmot,D,watford,2,0,24,0,0,0,0,0,,0,0,0,0,0,0,-
 Lukasz,Fabianski, Lukasz Fabianski,G,west ham,38,38,2610,0,0,0,0,0,0,5,0,0,0,0,0,-
,Felipe Anderson, Felipe Anderson,M,west ham,36,36,2320,9,4,24,59,3,0,37,16,5,174,47,0,-
 Declan,Rice, Declan Rice,M,west ham,34,34,2509,2,0,5,22,4,0,8,14,1,9,0,0,-
 Michail,Antonio, Michail Antonio,M,west ham,33,22,1725,6,3,23,63,3,0,37,28,10,64,0,0,-
 Robert,Snodgrass, Robert Snodgrass,M,west ham,33,25,1841,2,5,7,29,10,0,36,30,3,198,112,0,-
 Issa,Diop, Issa Diop,D,west ham,33,33,2340,1,0,5,12,4,0,13,16,3,0,0,0,-
 Mark,Noble, Mark Noble,M,west ham,31,29,1740,5,5,8,17,6,1,25,15,1,31,4,4,-
 Marko,Arnautovic, Marko Arnautovic,F,west ham,28,24,1368,10,4,31,61,3,0,7,21,22,45,0,0,-
 Pablo,Zabaleta, Pablo Zabaleta,D,west ham,26,23,1551,0,1,1,7,4,0,22,12,2,62,0,0,-
 Javier,Hernandez, Javier Hernandez,F,west ham,25,14,1164,7,2,16,35,2,0,28,9,12,14,0,0,-
 Angelo,Ogbonna, Angelo Ogbonna,D,west ham,24,20,1690,1,1,5,14,2,0,7,13,0,1,1,0,-
 Pedro,Obiang, Pedro Obiang,M,west ham,24,12,764,0,1,1,14,0,0,8,11,2,10,1,0,-
 Fabian,Balbuena, Fabian Balbuena,D,west ham,23,23,1204,1,0,2,18,2,0,0,10,0,2,2,0,-
 Arthur,Masuaku, Arthur Masuaku,D,west ham,23,19,1125,0,1,2,5,2,0,3,6,0,46,0,0,-
 Aaron,Cresswell, Aaron Cresswell,D,west ham,20,18,1410,0,1,1,11,1,0,10,1,1,77,10,0,-
 Grady,Diangana, Grady Diangana,M,west ham,17,6,553,0,1,3,10,0,0,7,4,1,19,1,0,-
 Lucas,Perez, Lucas Perez,F,west ham,15,4,381,3,0,3,10,0,0,3,2,3,10,0,0,-
 Ryan,Fredericks, Ryan Fredericks,D,west ham,15,12,816,1,0,3,5,5,0,8,5,0,30,0,0,-
 Andy,Carroll, Andy Carroll,F,west ham,12,3,455,0,0,6,14,2,0,9,11,3,2,0,0,-
 Manuel,Lanzini, Manuel Lanzini,M,west ham,10,8,689,1,1,4,11,2,0,6,5,0,15,6,0,-
 Andriy,Yarmolenko, Andriy Yarmolenko,F,west ham,9,5,-,2,0,3,9,2,0,-,-,1,18,0,-,-
 Jack,Wilshere, Jack Wilshere,M,west ham,8,4,55,0,1,1,2,2,0,2,1,0,5,2,0,-
 Carlos,Sanchez, Carlos Sanchez,M,west ham,7,2,23,0,0,0,3,0,0,0,0,0,2,0,0,-
 Samir,Nasri, Samir Nasri,M,west ham,5,3,245,0,2,0,3,0,0,2,3,3,8,1,0,-
 Ben,Johnson, Ben Johnson,M,west ham,1,1,63,0,0,0,0,0,0,0,0,0,0,0,0,-
 Xande,Silva, Xande Silva,F,west ham,1,0,17,0,0,0,1,0,0,0,0,0,1,0,0,-
 Raul,Jimenez, Raul Jimenez,F,wolves,38,36,2376,13,7,38,113,4,0,31,30,33,47,0,2,-
 Matt,Doherty, Matt Doherty,D,wolves,38,35,2375,4,5,18,44,5,0,19,23,4,97,0,0,-
 Joao,Moutinho, Joao Moutinho,M,wolves,38,35,2244,1,8,3,19,4,0,28,39,0,211,156,0,-
 Conor,Coady, Conor Coady,D,wolves,38,38,2610,0,0,0,0,5,0,8,8,0,2,3,0,-
 Rui,Patricio, Rui Patricio,G,wolves,37,37,2520,0,0,0,0,0,0,1,0,0,0,0,0,-
 Willy,Boly, Willy Boly,D,wolves,36,36,2358,4,0,6,22,2,1,11,25,2,3,0,0,-
 Ruben,Neves, Ruben Neves,M,wolves,35,34,2199,4,3,17,73,8,0,14,22,0,36,2,2,-
 Ryan,Bennett, Ryan Bennett,D,wolves,34,34,2250,1,0,4,15,12,0,7,20,1,4,0,0,-
 Diogo,Jota, Diogo Jota,F,wolves,33,29,1653,9,5,25,58,11,0,38,26,6,52,0,0,-
 Jonny,Castro, Jonny Castro,D,wolves,33,32,2032,1,1,7,26,6,0,23,15,5,54,0,0,-
 Adama,Traore, Adama Traore,M,wolves,29,8,703,1,1,7,22,1,0,17,12,7,47,0,0,-
 Morgan Gibbs,White, Morgan Gibbs White,M,wolves,26,5,617,0,1,1,7,1,0,5,7,2,20,10,0,-
 Helder,Costa, Helder Costa,F,wolves,25,16,717,1,2,7,26,3,0,10,13,5,53,6,0,-
 Ivan,Cavaleiro, Ivan Cavaleiro,F,wolves,23,6,626,3,1,4,12,1,0,5,11,6,63,16,0,-
 Leander,Dendoncker, Leander Dendoncker,D,wolves,19,17,1469,2,0,10,17,1,0,13,11,1,13,0,0,-
 Romain,Saiss, Romain Saiss,D,wolves,19,12,1128,2,0,5,11,7,0,9,25,0,9,0,0,-
 Ruben,Vinagre, Ruben Vinagre,D,wolves,17,7,638,0,0,4,6,1,0,8,8,1,46,2,0,-
 Leo,Bonatini, Leo Bonatini,F,wolves,7,0,33,0,1,1,8,0,0,0,0,0,5,0,0,-
 John,Ruddy, John Ruddy,G,wolves,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,-
