player,AGE,WEEKLY SALARY,,
Gylfi Sigurdsson,28,"100,000",,
Theo Walcott,29,"100,000",,
Richarlison de Andrade,21,"90,000",,
Lucas Digne,25,"90,000",,
Leighton Baines,33,"70,000",,
Seamus Coleman,29,"70,000",,
Idrissa Gueye,28,"70,000",,
Michael Keane,25,"60,000",,
Cenk Tosun,27,"60,000",,
Oumar Niasse,28,"55,000",,
Phil Jagielka,36,"50,000",,
James McCarthy,27,"50,000",,
Kurt Zouma?,23,"40,000",,
Maarten Stekelenburg,35,"30,000",,
Tom Davies,20,"25,000",,
Mason Holgate,21,"25,000",,
Ademola Lookman,20,"23,000",,
Dominic Calvert-Lewin,21,"20,000",,
Kieran Dowell,20,"15,000",,
Jonjoe Kenny,21,"15,000",,
Beni Baningime,19,"8,000",,
Andr? Schurrle?,28,"104,000",,
Andre-Frank Zambo Anguissa,23,"67,000",,
Jean Michael Seri,28,"65,000",,
Aleksandar Mitrovic,24,"60,000",,
Fabricio Agosto Ram?rez,31,"45,000",,
Harry Arter?,29,"40,000",,
Tom Cairney,28,"40,000",,
Marcus Bettinelli,27,"35,000",,
Anthony Knockaert?,27,"35,000",,
Alfie Mawson,25,"32,000",,
Joe Bryan,25,"30,000",,
Tim Ream,31,"27,000",,
Maxime le Marchand,29,"25,000",,
Kevin McDonald,20,"22,000",,
Cyrus Christie,26,"20,000",,
Neeskens Kebano,27,"13,462",,
Ibrahima Ciss?,25,"12,500",,
Aboubakar Kamara,24,"12,500",,
Harrison Reed?,24,"12,000",,
Stefan Johansen,28,"10,000",,
Denis Odoi,31,"8,900",,
Floyd Ayit?,30,"8,000",,
Rui Fonte,29,,,-
Alex Pritchard,25,"110,577",,1993
Aaron Mooy,28,"50,000",,1990
Terence Kongolo,24,"35,000",,
Erik Durm,26,"35,000",,
Steve Mounie,24,"35,000",,
Laurent Depoitre,30,"35,000",,
Zanka,28,"33,000",,
Danny Williams,29,"30,000",,
Adama Diakhaby,22,"30,000",,
Ramadan Sobhi,21,"27,000",,1997
Christopher Schindler,28,"25,000",,1990
Elias Kachunga,26,"25,000",,
Florent Hadergjonaj,24,"23,000",,
Jonathan Hogg,30,"23,000",,
Chris Lowe,29,"20,000",,
